Dataset,Method,MSE
Satellite Image,RFS Opt,1.4966438743942803
Satellite Image,RFS Opt,1.5473006953608335
Satellite Image,RFS Opt,1.511953591176093
Satellite Image,RFS Opt,1.5398707855362779
Satellite Image,RFS Opt,1.488817507780258
Satellite Image,RFS Opt,1.48729498787358
Satellite Image,RFS Opt,1.5521253055634832
Satellite Image,RFS Opt,1.5244297979367796
Satellite Image,RFS Opt,1.5481520171463008
Satellite Image,RFS Opt,1.5207863071697827
Satellite Image,RFS Opt,1.526661603478361
Satellite Image,RFS Opt,1.5128278177613965
Satellite Image,RFS Opt,1.5135032458447897
Satellite Image,RFS Opt,1.5485633459164796
Satellite Image,RFS Opt,1.4858544280021506
Satellite Image,RFS Opt,1.5254379029615204
Satellite Image,RFS Opt,1.492195732710334
Satellite Image,RFS Opt,1.528465795429663
Satellite Image,RFS Opt,1.4895767337586359
Satellite Image,RFS Opt,1.5257797932043695
Satellite Image,RFS Opt,1.47708963755759
Satellite Image,RFS Opt,1.5013403419627973
Satellite Image,RFS Opt,1.4947290438167924
Satellite Image,RFS Opt,1.5566367849093987
Satellite Image,RFS Opt,1.5257986656515365
Satellite Image,FS,1.4798606701123411
Satellite Image,FS,1.5214139172955112
Satellite Image,FS,1.496445826772417
Satellite Image,FS,1.49409845703959
Satellite Image,FS,1.4951063086284406
Satellite Image,FS,1.5451096339826962
Satellite Image,FS,1.5145111741482564
Satellite Image,FS,1.4965310054732566
Satellite Image,FS,1.5099947076611533
Satellite Image,FS,1.5168285136147894
Satellite Image,FS,1.5021001498018405
Satellite Image,FS,1.5405992304889986
Satellite Image,FS,1.5293302649600362
Satellite Image,FS,1.5400753461627148
Satellite Image,FS,1.4976400038984345
Satellite Image,FS,1.527996722780596
Satellite Image,FS,1.4787590578734051
Satellite Image,FS,1.5338586952707352
Satellite Image,FS,1.5142338459518767
Satellite Image,FS,1.5383924835816416
Satellite Image,FS,1.5068108875825312
Satellite Image,FS,1.5320367643226496
Satellite Image,FS,1.49960638300813
Satellite Image,FS,1.5179163911224562
Satellite Image,FS,1.5168475606921128
Satellite Image,FS,1.4990918684248145
Satellite Image,FS,1.5425357076689297
Satellite Image,FS,1.5390991478705338
Satellite Image,FS,1.516490502489909
Satellite Image,FS,1.4912369523948126
Satellite Image,FS,1.4896414522224792
Satellite Image,FS,1.5250504715541129
Satellite Image,FS,1.5281562153291866
Satellite Image,FS,1.5500111543633592
Satellite Image,FS,1.5416164826296779
Satellite Image,FS,1.5327160024201505
Satellite Image,FS,1.5049272984682716
Satellite Image,FS,1.5248251122067615
Satellite Image,FS,1.5260414612620068
Satellite Image,FS,1.4846986607082742
Satellite Image,FS,1.5174041950215598
Satellite Image,FS,1.49380297450246
Satellite Image,FS,1.5405171160985542
Satellite Image,FS,1.5106613975035927
Satellite Image,FS,1.5393719091425535
Satellite Image,FS,1.464417002339988
Satellite Image,FS,1.5051389697146325
Satellite Image,FS,1.507375679148603
Satellite Image,FS,1.549134914542669
Satellite Image,FS,1.4977063671434594
Satellite Image,OLS,1.4984606552945425
Satellite Image,OLS,1.561958556806683
Satellite Image,OLS,1.4964458267724154
Satellite Image,OLS,1.5020418225916774
Satellite Image,OLS,1.4956289978799304
Satellite Image,OLS,1.5593025044672735
Satellite Image,OLS,1.5243853297695313
Satellite Image,OLS,1.52782905081211
Satellite Image,OLS,1.5100846222739646
Satellite Image,OLS,1.535189977482226
Satellite Image,OLS,1.5104125105297803
Satellite Image,OLS,1.5530614511305323
Satellite Image,OLS,1.529330264960036
Satellite Image,OLS,1.5293007772835425
Satellite Image,OLS,1.5098489941850821
Satellite Image,OLS,1.5264508007637103
Satellite Image,OLS,1.5103578261554158
Satellite Image,OLS,1.5403959168912194
Satellite Image,OLS,1.54873232146802
Satellite Image,OLS,1.5395588585530762
Satellite Image,OLS,1.5053364446455448
Satellite Image,OLS,1.5393795323974884
Satellite Image,OLS,1.4983188386221646
Satellite Image,OLS,1.5198751574813458
Satellite Image,OLS,1.5310281773253318
Satellite Image,OLS,1.5159616730003085
Satellite Image,OLS,1.5429173578081965
Satellite Image,OLS,1.5348047705354033
Satellite Image,OLS,1.5194428472381654
Satellite Image,OLS,1.4939423981121327
Satellite Image,OLS,1.502658714218497
Satellite Image,OLS,1.539053334128663
Satellite Image,OLS,1.5390378984221973
Satellite Image,OLS,1.5770371118685291
Satellite Image,OLS,1.5502463369960844
Satellite Image,OLS,1.5186116436968176
Satellite Image,OLS,1.4996829115047265
Satellite Image,OLS,1.5451364345010399
Satellite Image,OLS,1.5090154188489993
Satellite Image,OLS,1.521737743640773
Satellite Image,OLS,1.5174041950215598
Satellite Image,OLS,1.5145625596337413
Satellite Image,OLS,1.5401476915753114
Satellite Image,OLS,1.5106613975035923
Satellite Image,OLS,1.5464207431571364
Satellite Image,OLS,1.4685293428556518
Satellite Image,OLS,1.513006524931537
Satellite Image,OLS,1.503672415540977
Satellite Image,OLS,1.5669752124821457
Satellite Image,OLS,1.5144898192854865
